Nombre,Categoria,Genero,Duracion,Link,Descripcion
¿Y dónde está el piloto? II,PG,Comedy,1hr 24 min,https://pluto.tv/latam/on-demand/movies/5e5ec24e5c7c10001a60ab5a,"Hay un loco bombardero a bordo, el primer trasbordador a la luna está por auto-destruirse, los motores no están funcionado, y lo peor de todo, la tripulación del vuelo descubre que están ¡completamente locos!"
My Big Gay Italian Wedding,R,Comedy,1hr 26 min,https://pluto.tv/latam/on-demand/movies/65ce7a644927ad001451b343,"Antonio ha encontrado por fin al amor de su vida, Paolo, con quien vive felizmente en Berlín. Aunque todavía no están seguros de la reacción de sus familias, deciden casarse en Italia, en el pequeño pueblo donde viven los padres de Antonio."
A Novel Romance,TV-G,Romance,1hr 32 min,https://pluto.tv/latam/on-demand/movies/6024363b8d35a80013ee1c05,"Dos solteros de Nueva York se mudan juntos después de que uno es despedido y el otro pierde a su novio trágicamente. Se mudan como amigos y piensan que nada cambiará como amigos, pero todo cambia."
War of the Worlds 2: The Next Wave,N/A,Action & Adventure,1hr 27 min,https://pluto.tv/latam/on-demand/movies/5dc92f1f045f36ab79e54d13,"Dos años después de la invasión marciana, se dan cuenta de los peores temores de George Herbert: han regresado."
